,BICYCLE_IND,PEDESTRIAN_IND,ROAD_DESCRIPTION_AT INTERSECTION,ROAD_DESCRIPTION_PARKING LOT,LIGHT_CONDITION_DARK-LIGHTED,LIGHT_CONDITION_DAY LIGHT
90738,0.0,0.0,1.0,0.0,1.0,0.0
64044,0.0,0.0,1.0,0.0,0.0,1.0
1421,0.0,0.0,0.0,1.0,1.0,0.0
141018,0.0,0.0,0.0,0.0,0.0,1.0
109715,0.0,0.0,0.0,0.0,0.0,1.0
51181,0.0,0.0,0.0,0.0,0.0,0.0
28979,0.0,0.0,0.0,0.0,0.0,1.0
2645,0.0,0.0,1.0,0.0,1.0,0.0
123314,0.0,0.0,1.0,0.0,0.0,1.0
116272,0.0,0.0,1.0,0.0,0.0,1.0
156706,0.0,0.0,0.0,0.0,0.0,1.0
67658,0.0,0.0,1.0,0.0,0.0,1.0
45887,0.0,0.0,0.0,0.0,0.0,1.0
33691,0.0,0.0,1.0,0.0,1.0,0.0
133062,0.0,0.25,1.0,0.0,0.0,0.0
160006,0.0,0.0,1.0,0.0,0.0,0.0
117578,0.0,0.0,0.0,0.0,0.0,0.0
128342,0.0,0.0,0.0,0.0,0.0,1.0
39976,0.0,0.0,0.0,0.0,0.0,1.0
30408,0.0,0.0,0.0,0.0,0.0,1.0
41561,0.0,0.0,1.0,0.0,0.0,1.0
114348,0.0,0.0,0.0,0.0,0.0,1.0
87356,0.0,0.0,0.0,0.0,0.0,1.0
59751,0.0,0.0,1.0,0.0,0.0,1.0
140102,0.0,0.0,0.0,0.0,0.0,1.0
63936,0.0,0.0,0.0,0.0,0.0,1.0
28064,0.0,0.0,0.0,0.0,0.0,1.0
120575,0.0,0.25,1.0,0.0,0.0,1.0
54694,0.0,0.0,0.0,0.0,0.0,0.0
129202,0.0,0.0,0.0,0.0,1.0,0.0
8546,0.0,0.0,0.0,0.0,0.0,0.0
100000,0.0,0.0,0.0,0.0,0.0,0.0
109818,0.0,0.0,0.0,0.0,0.0,1.0
150350,0.0,0.0,0.0,0.0,0.0,1.0
108166,0.0,0.0,1.0,0.0,0.0,1.0
11055,0.0,0.0,0.0,0.0,0.0,1.0
77907,0.0,0.0,0.0,0.0,0.0,1.0
141535,0.0,0.0,0.0,0.0,0.0,1.0
79111,0.0,0.0,1.0,0.0,0.0,1.0
80327,0.0,0.0,0.0,0.0,1.0,0.0
43332,0.0,0.0,0.0,0.0,0.0,1.0
12029,0.0,0.0,0.0,0.0,0.0,1.0
67635,0.0,0.0,0.0,0.0,0.0,1.0
8645,0.0,0.0,0.0,0.0,0.0,1.0
114315,0.0,0.0,1.0,0.0,0.0,1.0
101730,0.0,0.0,0.0,0.0,0.0,1.0
32548,0.0,0.0,0.0,0.0,0.0,1.0
142945,0.0,0.0,1.0,0.0,0.0,1.0
117711,0.0,0.0,1.0,0.0,0.0,1.0
5486,0.0,0.0,0.0,0.0,0.0,1.0
142442,0.0,0.0,0.0,0.0,0.0,1.0
52236,0.0,0.0,0.0,0.0,0.0,1.0
101499,0.0,0.0,0.0,0.0,0.0,1.0
99719,0.0,0.0,0.0,0.0,0.0,1.0
110126,0.0,0.0,0.0,0.0,0.0,1.0
55003,0.0,0.0,1.0,0.0,0.0,1.0
14363,0.0,0.0,0.0,0.0,1.0,0.0
106367,0.0,0.0,1.0,0.0,0.0,1.0
